author,text
@PedroHernandez-gd2md,"Everybody Nintendo switch two is coming at June 5, 2025!"
@henry_luna2750sebbie,Nintendo please can you put Minecraft Java edition on switch 2 because the joycons are like a computer mouse 🖱️
@linkthenardo,I'm getting this for my 18th birthday and I don't care what your negative opinions are I'm just happy that I'm getting this console
@Daroachx,leewilliams
@Tsupwe,So what did you guys do about joycon drift. Did you use the non traction wheels or kept it cheap to keep us coming back for more?
@IvanHernandez-e3t,Still no voice chat?.......
@rogers8555,Dont buy this !!! ... the fact they are trying to sue palworld ... tells you everything about this company!!! All your is making gaming worse if you buy this !! So dont cry later !!
@loreto8960,10 days till switch 2 releases!
@rescueop-c9t,F U NINTENDO
@Mr.Mxyzptlk-t3m,Ur A scumming company i wont buy ur products anymore with ur outrageous prices robbing the public
@madrayplays,did nintendo mog ps5☠
@madrayplays,finally 30 - 120 fps what a upgrade .😅 no more lagging
@Mha-r,ITS THE SAME THING 😂
@Mrnintendoswitchguy,"Nintendo NEEDS to hurry up and release the switch 2! My Nintendo Switch 1 JoyCons are almost broken! I could just buy another switch, but with the switch 2 around the corner, I feel the that be a waste of money. SO HURRY UP AND RELEASE IT!"
@phredshunkie3487,It’s too expensive.  I will just get a new Xbox.
@JackOfAllRAIDs,"Not mentioned: if you do anything, whether accidentally or purposefully, that violates their terms of service, they reserve the right to permanently brick your console."
@Rrrriiiiiccccc,I forgot the password and it won't connect online
@Rrrriiiiiccccc,And add the Nintendo switch reset
@Rrrriiiiiccccc,Nintendo please fix your parental control reset
@WalkingNowhere,"Why is noone talking about the freaking game ""loading""? You mean I can't just sign into my account on my brother's console to give him full access to my library? How incredibly stupid is that?"
@artfoundry4855,"This console is hot garbage. I've put up with your nonsense during the Switch era (paid online, no Virtual Console, faulty JoyCons) but the Switch 2 is so full of red flags, I won't give it a chance.

I hope your console fails. It's the only way you'll learn from your hubris."
@JustAnime840,I need this background music
@mateo.circle,We Got The Nintendo Switch 2 Before The PS6!!!
@ladidalyrics2404,Add backwards capability with original game cube controllers
@ladidalyrics2404,This is ridiculous 😂
@ladidalyrics2404,Switch 2 sucks
@Rockradiomachine,Uow😮
@alyassico,Im def getting this
@MayskiG,try bring shenmue to switch nintendo.
@PlayRightParent,I noticed they said that on Nintendo Switch 2 you can play COMPATIBLE Nintendo Switch games. Will most original Switch games work with the Switch 2?
@RikoRik33,Just buy a 3ds.
@bobbymckenzie3202,Magnets are great at collecting tiny pieces of metal over time
@cmcizzle1261,You do realize you don't really own any of the games even physical copy's their just keywords and if you try to mod it. It becomes a brick don't waste your money
@Goofball_436,The Switch 2 is becoming a computer with magnets
@cyphruss,"Synth Vibing 2025 - Just Released (New Electronica / EDM Album) <<<
Righteous Destruction (Rock / Metal Album) <<<
Castlevania: Aura of Holy Might (Soundtrack / Remix Album) <"
@Valor_19,3ds 2 when
@BalloonusMaximus,Can’t afford. Economy bad. Will check back in 10 years.
@PoisonousPen,"I bought a gen 1 PS4 in 2014 - it’s still fine 😅

We got a Switch in 2020 - it’s still fine 😅🤷‍♂️"
@Taiwan-zt4xl,"If you buy this, you're part of the problem."
@timmysmells,Garbage
@ElelTe,Why is it that we never got even 1 cod title for this system?
@Flindersbay,"It's a scam u don't even own it who's not getting one

🎉⬇️"
@jonathankendall4865,Gotta love them using the tiny gen 1 screen and not the newer OLED one in screen comparison
@Legentildugame,Can we get super mario odysey pls
@Yzzami,"What’s to stop them from falsely flagging switches and bricking them?  ;:(

The reg switch graphics are fine, the size is fine, and the gameplay is smooth. This is just a greedy cash crab"
@LeoTruong-g4k,Pls make pikmin 5 pls pls pls 🙏 😞
@MattFromWiiSportsAndWiiParty,450$ and you don’t even own it. Stealing.
@cjg6465,These would've been great baseline specs in 2015
@cjg6465,"I'm so very disappointed. This is the same slop, rehashed and overpriced"
@abolooghenemariho,hey guys I'm from Nigeria I want anything but the sad news is there is no Nigeria in a country region selection I am done for😭
@liker2012,This is the first Nintendo console I will buy at launch! Let's Go!
@rainbough,DROP THE PRICES 🗣️🗣️🗣️🗣️
@jobsmcmoney3973,I’m not a moder but I think it’s ridiculous you can brick someone’s property.  But with fancy words we don’t actually own our switch.  I’m not buying anything I don’t own.  This will be the first Nintendo console I won’t buy.
@LikeJaraJesus,"❤🫠
Love it"
@NadiroHari,Can you give me a free Nintendo?
@TGBCubesAndGames,come on nintendo! im sure you guys know that hd rumble 2 is such a stupid name. i might as well call my son 'benji 2' now cos it sounds even better than 'benji jr' or just completely smth else. totally.
@Yes_But_Art,Should’ve just called it the Nintendo CD
@zeghydios9392,Gotta love Nintendo for declaring war on the gamers.
@Igamblealot-p3t,These guys are greedy anything their fans make that get popular the sue that person
@carlislede,Make a Wii bronze
@alexalidi7082,"DO NOT BUY THE NINTENDO SWITCH 2. YOU WOULD TECHNICALLY BE ONLY RENTING IT. THEY CAN SHUT IT DOWN WIRELESSLY IF THEY WANT TO. THESE CORPORATIONS ARE GETTING OUT OF HAND AND WE ARE ALLOWING IT. UNTIL NINTENDO TURNS OFF THAT FEATURE, WE SHOULD ALL REFUSE TO BUY IT."
@Panterprimes,I which they put transformers war for Cybertron and transformers full of Cybertron on the Nintendo switch and Nintendo switch 2
@sethgardiner3331,Boo
@Bananabungalo,Battlefront 3 when?
@Screech-r2g,Punch-out on switch 2 might be cool
@LeoJthe747,"It honestly is sad, 450 for a console you get a license to use (nintendo fan boys its not misinformation, look at article 1 section 1 and 2 of the Switch end user agreement) and 80 dollars for a license to play a game. With taxes and shipping 500 and 90 dollars come out of your pocket for each, and at that point, I would switch consoles, as it looks more reliable in the long run, remeber, after the next console comes out, nintendo wont hesitate to shut down the e shop and servers for the previous consoles, just like they did with the 2ds and 3ds."
@Nicole-kr6tn,"Even if Nintendo straightens up their act I'll never buy anything from them again. 
Their lawsuits, and bullying of other gaming companies and *individuals* is morally reprehensible. 
This is how you kill the multi-headed beast, you stop feeding all the heads. 
If you love video games, VOTE. WITH. YOUR. WALLET. 
Don't buy the Switch 2, which Nintendo has straight up said you won't own even if you buy, and that modifying it in any way will lead them to REMOTELY BRICK YOUR SYSTEM. Don't buy the over priced games. Cancel subscriptions. 
If you really want your Pokémon fix buy it second hand so Nintendo doesn't get any money from your personal transaction. 
Find a second hand Game Shop to buy older consoles and games, but for the love of god do not buy anything modern from them. 

This obviously is just my advice, no one has to take it if they don't want to. But know that if you support Nintendo monetarily you are supporting the death of creativity in gaming. 
Humanity would not be where it is today without building off of the ideas of our predecessors, all the way from the invention of the wheel to right now. Everything we use, every technique, every machine, every sentence we speak, every story we listen to- all of it built off of an idea that came before. 

They can't force us to purchase their products, they're hoping that people will just keep supporting them because of their successful IPs, despite being awful human beings."
@Sonicfan1991-s3y,Drop the price for the switch and Mario kart world
@lee_gaming6142,"Alright Nintendo, I've watched the trailers, seen the specs and you convinced me......I bought a steam deck oled"
@ChantelleRichards-d7f,Pls as roblox
@saud_man45,Wow
@kionfandomt3615,"0:53 Bigger screen, same thickness
1:06 High-definition display
1:21 Smooth gameplay, up to 120 fps
1:33 Vivid LCD, HDR support
1:44 Joy-Con 2 attach magnetically
2:01 Bigger SL/SR Buttons
2:13 Larger control sticks
2:21 Mouse controls using Joy-Con 2
2:47 Improved speakers, clearer audio
2:58 Built-in mic for easy voice chatting
3:14 3D audio gives a sense of space
3:36 New stand, freely adjustable viewing angle
3:48 2 USB-C ports
4:10 Larger, faster storage
4:28 New dock, 4K support
4:48 Fan ventilation for powerful cooling
5:02 Plays compatible Nintendo Switch games"
@vinhamoroll,1080p ??? seriously ??? that's it ???
@astrawberrypup2729,Is joycon drifft  still here
@DonkeyKongFan6969,best console IMHO
@ryangroves596,"U can censor me all u want Nintendo; but personally, I think you need to work better on how the terms of agreement are. ok Nintendo. Cuz u scary even if ur trying to stop hackers or other types of online criminals! Also some people just want to be able to fix their devices they bought from ur company over time while not breaking their bank 🏦 nor have to deal with tech support to get permission to fix a joy-con stick drift or the charging port or the screen!

Also big question; what happens when a person did not add anything to their switch2 nor mod it. Yet somehow u decided something seems sketchy and u deleted their account and brick that innocent person’s device when they did nothing to it even if u did an investigation afterwards realize oh man (we as in u Nintendo jumped the shark on that one) but u refused to fix the problem u made?"
@douglasandfabianofranca1443,This aged well
@TURBOE1jz,"Never going to buy another Nintendo product, it’s absolute bs"
@TadeyPoppins,I don’t get why people are saying this console is too expensive mainly because of the games. No-one HAS to buy these games. They can just play the regular games from the original Switch.
@ThaEarthIsMyTurf,Are we getting a new Super Smash?
@sveinnordgren6376,Boycot nintendo switch 2.
@JorgeMartinez-bm1bo,No dpad hate it . 😎
@Mason2001-q7l,I’m definitely getting that
@Mr_error_boy,It is a scrap
@Mr_error_boy,Do not buy it
@Mr_error_boy,Useless console
@ShrekieWecki,So we’re all here rewatching this while waiting for June 5th?
@skoolwifi3835,The greatest PS5 ad I've ever seen
@MatthewvanAggelen-y4f,"My sister needs one of those untill she sees my for the first time if that's alright with you guys, and if you have any suggestions or questions let me know and thank you for your time.❤😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀"
@エビグラタン-p5n,すごくいいと思います
@harrisherd1300,Pls don't disable my switch I am your fa 😢
@荒らしは無視が1番,"落選したみんな！大丈夫だ…安心しろ！私もだ！！
だから任天堂に八つ当たりするのはやめましょう。

To all those who were unsuccessful! It's ok...don't worry! Me too!! 
So let's stop taking out our frustrations on Nintendo."
@AragonLegacy,Nope 👎 I will buy something I can’t own.  They are essentially trying to lease a glorified game boy. 😂
@damienw637,Pay more for physical copies of a game to realise it's just a digital download. 👎
@RizzlersRepublic,glorified paperweight
@timothybaldwin678,money hungry monsters
@blackrain60,NINTENDO!!! IF WE GOT A FOUR HUNDRED AND FIFTY DOLLAR USD CONSOLE WE ARE ALLOWED TO DO ANYTHING WITH IT YOU CAN'T JUST DISABLE IT!!!
@ohnope1549,This is a wii u situation have fun making no money and losing money greedy company
@mahnoornadeem9706,"Almost June 5,  15 days left"
@derekjacobs2831,"Have a switch but with everything coming out and the greed from Nintendo the switch will be my last console. No game sharing, subscription for mic, ""game keys"", ""You dont own you games or the console"" can be bricked at any time. Bye bye"
@ardiansyahchandra3189,The SWITCH Has been Upgrade to SWITCH 2. Amazing!!❤❤
@NorthDakotaHO,I hate you Nintendo really you had to make a feature where you break the Nintendo if someone mods it
@DougVR26,You were supposed to destroy the sith not join them
@Itsval12,Chat I’m getting one cuz my birthday was may 10 so yeee I’ll prob do a vid of the Nintendo when i got it but i might forget so like this comment and idk js remind me ty❤❤
@Justin-v5m9z,"Slight improvement 
Double the price 
And you wont actually own a single game 
And dont
Absolutely dont 
Ever 
3ven Think of mods"
@futurvsionar6745,"This is the 1st time I havent been excited about Nintendo... And the 1st time I have resolved to live in their past, homebrew, and give my Microsoft Ultimate greater dedication!!!"
@dkFAN6969,"this will be the best console ever, cant wait for it to release, ive already preorder it, best console ever IMHO"
@Mclovin_MyMoney22,"""Hello Switch 2, and goodbye wallet!'"
@imnotapineapple1361,🏴‍☠️ 🏴‍☠️ 🏴‍☠️
@ChristianBock-m5b,I saw the Prices even for a Tech Demo i ain't proud in having a Nintendo Switch 1 now i wouldn't even be proud if i had my WII U still
@lockednloaded9867,This looks like garbage. I hope that this fails miserably.
@JoseSalanguste-x1z,The thing with good but when we get to the mouth thing where can we put the blue controller if it's only do red controller using the mice
@wingedkuribohson,It's a pass on the switch2 will not buy rip Nintendo. Rip pokemon. I feel bad for all the Nintendo fanboys going to buy the switch brick2
@MonkeyGuy-r1v,It’s like the Wii u isn’t it a scam to get us to empty our entire collage funds for it
@jonnalynapsay6329,NINTENDO PLS LET US MOD OUR SWITCH AS LONG AS WE DONT RUIN PEOPLES EXPERIENCES
@Ledwow,They did it in a greedy way with the new games
@Firebreak0444,"""Video games were ment to be one thing. Fun. Fun for everyone."""
@ChristopherSonic436,Nintendo pls add more themes lol
@ColinVoss-c2m,Buy steam deck🚡🚡🚡
@yamitejeda3777,It’s is horrible 80 or 70 or 60 dollars for a game 😢
@Ice_King_130,I want to see battlefront 3 😁
@ThePavin,Why not LED wtf Nonentod
@abdo-citizen,Iam not buying 90$ games thx
@Spacegojifn,I’m not going to by this because it WAY to expensive
@realP.1,Im actually happy the switch 2 is half a grand all the scalpers who bout out the pre orders aren't gonna get those things resold
@SordidMorbid,Greedy parasites peddling nostalgia.
@rynkie,lower the price
@raviaz6298,greed will ruin you
@raviaz6298,Worst company ever
@AriochTravel,"the downfall of nintendo
idk who's the CEO but we need Luigi to do something"
@DarkLight00001,"Not buying. 600 and 20 dollars? What are you, smokin crack?"
@JaydenNelson-z7e,It just ... Feels like a Nintendo switch pro
@The100RealWaluigi,"Comments complaining about the ELUA When it doesn't even effect 99% of people. People aren't just casually putting mod chips in their switch and have expert soldering skills, why complain when it doesn't even effect you"
@AdamIslam-mc5nd,Why is the bezels still there even with a big screen
@FarzanaNousheen,And with friends
@FarzanaNousheen,Yo i didn't know you can use voice chat
@FarzanaNousheen,"Dude, i swear to god i will get that nintendo switch 2 for my birthday"
@vishalh4615,Y'all can keep the switch 2. Thanks.
@Sirhomeyrose,"So Nintendo . How dose it feel to know you just Signed your own death note with your own name . Ya I know what your doing 

Telling people they don’t own there Nintendo switch they one the license to use it 


That you can brick there switch if they even put a new casing on it 


That you now own All there nintemdo merchandise and if they even think about doing anything ti it you can sue them 



That you can’t be sued for anything but you can sue people fir anything 





That they can only play Nintendo made games on your new switch and that anything that Isent made by Nintendo will crash there systems 




That once they complete a game no mater how much there progress is they get there game deleted from the switch and have to white 2 months just to play that game again 





That players can’t even complain about glutches and report them or you’ll brick there system 





That fact that it is now illegal to make there own fan Pokémon games and they can be charged 89 million dollars for it 




And the most despicable and hanus part is that if they say anything anything negative about your games they’ll probably face jail time 




Way to go Nintendo you just dug your own grave"
@DylanDodd-x9m,Shittest console ever
@matheusfalcao1929,Vou piratear
@PMKNK1NG,Piracy is sooooo fun thank you switch for reminding me i will never buy another Nintendo product ever again
@hypersaiyan7102,18 more days.
@lucasbarauna5783,"Stop this madness, don’t buy something you won’t own. If we keep letting companies create this kind of products, we won’t own anything in life. Don’t be just a fan boy, use your head."
@flowermaze___,Corporate husks draining Nintendo of any and all good will
@Chipiltoin,0:34 rip donkey kong
@Chipiltoin,Poor  Nintendo Switch 1
@Youtubeuser10873,Pls lower those game prices wtf this console is so pricy might switch to xbox idc
@micr0browo,EVERYONE START A BOYCOT ON ALL NINTENDO PRODUCTS AND FORCE THEM TO REVERT THERE USER AGREEMENT SO WE CAN OWN OUR SWITCHES AND GAMES
@hasrulnaim6451,It is expected that the OLED version will be released later.
@roanrodenmar5478,"Wow Nintendo. Not only you're trying to greedily patent basic game mechanics, you're trying to set a blood gouging price range for games that doesn't deserved to be more than 50 usd at best. F you"
@DIP_BUH1207,2:25 watch counter strike 2 suddenly come to switch XD
@JMBal-r7q,"""If buying is not owning, then piracy is not stealing."" Nintendo just being full greedy. 👎"
@soulsoothing6133,Who the heck approved that donkey Kong make over omg stupid
@ah7421,You literally made the Nintendo worse I can’t even mod the console or else the $500 dollar console will become literally useless
@ShaneRoot-e9n,wow😯
@animequeen5624,So basically it's just like the original switch but just a Lil more updated
@NatMon-p5f,Give me a Nintendo switch 2
@stfz.141,the worst console in decades and only greed in their minds
@HenryTV-u4j,"I hate New Super Mario Bros U. Deluxe! If you don’t make wall jumping easier, I will sue you!😡😡😡😡😡😡"
@mohdasyarf167,"Nintendo switch eShop put in app TikTok and twitch Now you can play against PS and Xbox Nintendo, people don't do it, please help, the free app is also ok, and there is one Fortnite server in Malaysia, please, it's not ok, it's really bad, please fix it"
@hotcocogamingYT,YOU ARE TRYING TO BRICK CONSOLES BC YOU ARE SCARED OF HAVING REAL MODERATION ON YOUR GAMES
@ilikefartjokes,This will be the most pirated game of 2025!! Lol. Only blind Nintendo shills (which happen to be many people) are giving this greedy company money. Have fun not owning your games or console.
@salenawaaka6258,can we yous are nintendo switch 1 games on the nintendo switch 2 please let us know
@KeyGamesFN,"Bro i aint buying the switch 2 anymore bc they can suspend or deactivate your switch 2 for ""modding"" wich could also be just adding a wifi dongle and in EU people can sue nintendo for this"
@australiacomicsedge2697,Can we albe to play Nintendo switch games on the switch 2?
@dr_nobodysoffice6114,"I hope nobody else buys this cash grab, sorry excuse for a gaming console. You don’t even own it after you spend *500* dollars on the console, so they can just brick your console for modifying the switch in *any* way, and they also require once you buy the switch 2 that you can’t take any legal action against them if you get your console taken. You basically buy the privilege to have a switch 2 in your home, and the game cards don’t even download the game, they just unlock the games on the console for a higher price than digital. Nintendo used to be my favorite gaming company, being the only one I thought was in it for the entertainment and not the money, but I was clearly mistaken."
@umm3857,NINTENDO SWITCH 2 !!! 🎉 YIPPEE ❤🎉❤
@mariosworldplushcmb9138,We got nintendo switch 2 before gta 6
@xiangzhang8508,stupid mouse mode
@AriaPlez,They charging new game prices for old games at almost a hundred is wild.  These prices is what's going to kill Nintendo.  Not to mention the outrageous price for the same console with just better graphics
@xxproxxpro555,put new stuff new dashboard new games put Spotify playlist and new ideas new updates
@jeremysmith476,Passssss I mean the can brick your system for even trying to fix the joycons of they're not working talk about a waste I mean a waste of money it'll be a paper weight.....they say u don't own but rather lease the use of the system.....the physical copies aren't actual games but keys to download the games....older switch 1 games will be more money on switch 2 with NO graphics or game improvements....I'll be buying a different system since they're not friendly towards people owning or fixing there own systems if there product is defective.
@Gedeon8411,pure trash
@jamessprecher5951,"Nintendo taking a big L with this anti-mod bull crap  buy a REAL console like an Xbox, PlayStation or even a STEAMDECK (which is cheaper than this legal BRICK YOUR DEVICE BS"
@jamessprecher5951,Nintendo over here getting way too controlling with their crap I used to love my Nintendo DS light but now Nintendo is the thing of the past for me
@Zakaria-Sajib,"I wish it was 10"" screen 👎🏿"
@gascraiccraic3857,Nintendo cannot brick Switch 2 in EU or UK.  Sorry Americans
@EthanSpowart,F you Nintendo
@InsanityIsOurNature,"Oddly enough they forgot to mention your renting the console and not owning it, wonder why they would want to keep that out. Don’t buy the switch, it represents the dark side of gaming now"
@alexsgaming1729,I feel like we will get Wii expansion pack for switch 3
@Playc19,"all together, anytime, anywhere? more like ""you bought it, you dont own it, and we can brick it."""
@gascraic5784,Ha Ha!!!   Nintendo can only brick Switch 2 in the U.S.  Not allowed in EU or UK.
@dannyboy6038,I just love not owning my games or console
@Dante66894,"Not only is this overpriced, but you think you have the right to brick my property. No thank you"
@icy_bird5540,I’m sick of this company and it’s crap I will not get a switch 2 just to be screwed over but people that don’t give a crap and will brick your device just because they want more control shameful this is all shame full
@Man_From_The_Desert,"I think i know how to make a console Impossible to hack, no cap."
@1982mdunc,Your games perform horribly on the switch lite. Furthermore your games are so poorly coded that it is literally impossible at times to complete an objective. E.g. Zelda TOTK a falling star lands on a cliff but as soon as you get within 50 yards it either disappears or falls into the water. No amount of using abilities addresses this poorly coded function.
@KhánhHưngNguyễn-b7f,2025 Nintendo switch 2
@p3ms87,"I was cool even with the price. But that licence agreement... i want a console that is mine, not a thing that Nintendo can shut down whenever they want.
😢
Cancel my order."
@T-WilligerJames,"Like you guys legit constantly shoot yourselves in the foot over just pure hate of your player base. Main reason why I’d never buy a Nintendo product. You guys could seriously set an example but you’d rather just treat your fan base like money bags. Purely just disappointing, I’ll be sure to tell my children to never buy from Nintendo for being such a greedy non forward thinking company"
@T-WilligerJames,You guys are actually monsters
@damned.major.mayhem,"With the new EULA allowing Nintendo to brick your device I for one will never ever buy another nintendo product ever again. 
I'm going to rent out my devices and sell my account against Nintendo's whishes. 
I think I'm also going to run a Torrent of Nintendo Roms on Pirate bay for a few months just to irritate the heck out Nintendo."
@BigBoss-yq5cg,Bring PUBG to this console
@1982mdunc,Zelda TOTK is extremely laggy on switch lite. So much so that arrows go right through a visible enemy.
@chanachristine,You are dumb Nintendo we don’t even own the switch
@Beats-sx1ch,Nintendo greed is unacceptable
@jordanbrittanyjohnson1161,People won’t even own this it’s just a license to own it now 😭😭🙏🙏🙏
@TheDoom-d3v,the price for what you getting is not worth it. You don't even get the switch you get the license to use the switch. games to you pay 80$ for a license. I my opinion save and get a pc most of the game are free.
@YAğız31fx,people says theres no difference beetween but im still excited
@dru4743,Can’t wait to jailbreak it
@Patzilla1999,"Ya know I already heard about what you guys are doing with the license agreements this time and I ain't f****** with that. 
I want to own my console modded and play my f****** games I paid for and have those actually be my physical property if that isn't a case I'm done spending a thousand a year minimum on games and consoles and f****** controllers through you greedy bastards."
@billie-jeanmede2984,"Nintendo, They don't even sell video game consoles anymore they just sell gimmicks to stupid children."
@matthewschultz7390,Just put the fries in the bag.
@i_am_bored872,modern day nintendo is a joke
@TwoOfDee,"Nintendo is killing physical games because they don’t want people reselling their games in the future. They see the retro game market is strong and since they don’t get any money from old physical retro games reselling they want to kill physical games. Just plain greedy. 
I spread the word about the original Nintendo Switch and got a lot of my friends and family members to get a Switch, but I’m not going to get a Switch 2 at all. I’m done with Nintendo 👎🏽"
@princedeiniel,If you get the nintendo switch 2 you don't own it... You just bought a license to hold it meaning you are not allowed to modify games in it... Why is nintendo being so greedy these days 😭
@Hastur_deen,"Thanks for changing your EULA and adding a Killswitch to your system Nintendo. Now I don't need to think twice if I really want a Switch 2.

Pass."
@oKyeahThen,And how are the thumbs down?
@oKyeahThen,"RIP Ninten""DONT""."
@Adam-lz6bw,Boycott Nintendo
@catmeows2031plays,Bold of you to assume i have friends
@JffjYcyf,Y esto lo digo para que entiendan que hay gente pobre que por eso prefiere cambiarse otras consolas que son más baratas
@JffjYcyf,Después no digan que por qué los pirateamos pendejos disculpen las palabras pero tienen que mejorar más hasta un iPhone  Es más barato que sus consolas
@paulj1994,We need duskbloods for PlayStation!
@user-vx2rh8fh3f,It’s going to come out on my cousin’s birthday and I can’t wait. I’m literally going to run into GameStop buying it and almost every game. I love this switch and I’m never going to sell my switch one it’s probably going to be worth something
@mortezamohajer5518,big like
@jonathanduchesne8437,"With the new EULA, firmware errors while updating, an accidental fall of the console and or the end of Switch 2 gaming generation could leave you with a $500+ paperweight"
@__username__,The question is: how fast we will get custom firmware works on new console.
@neicosilkwood4978,Won’t spend money on something I can’t actually own 🙄 so dumb and think this company is really losing touch.
@TheLovetofight,Does it come in a Oled forum also ?
@callumkay5025,Wait so you wont even own the console and it can be turned of permanently whenever a greedy big company chooses. How do you not see that nintendo is starting to fail
@charliekervons1,New Golden Sun please
@houtarou285,"""If buying isnt owning, then pirating isnt stealing"""
@terrybrewer8792,Specs good. You don't own the game. Paying to play it.thats the problem.
@terrybrewer8792,"Nintendo used to be a household name, it's become  i have a switch 2 great nobody cares."
@scottie0021,"Price of the games don't matter, if you can't even get the console to begin with"
@richardtapia724,Can I be a super guest
@Pixelated_Praise,"I'm still keeping my OG switch. It does what I need it to do, and will only get a new one when mine dies or for some reason I need to get a new one"
@jameslindqvist,Please make a cheaper only stationary version of the Switch 2
@TheHellfiend,"Nah, between attacking content creators who are only trying to generate hype for their games, attacking fan game creators, saying they can now brick your device if they ""think"" you are misusing the hardware. Heck, even the Palworld situation... Would Pokémon even be a thing if Chunsoft and Enix had copywritten turn-based battle systems when Dragon Warrior came out in '86?

Not denying that they can develop great games, but that doesn't excuse the anti everyone but Nintendo philosophy they are running the business under these past few decades. Last system I bought was the GC. Got a Wii and Wii U second hand and still play those due to the games, but Nintendo is never getting any of my cash again..... maybe if they ""switch"" to being a third party developer and quit taking everyone and their dog to court.

That said, if you wanna buy their system and games, more power to you! I'm sure you'll have fun and those first party titles will be great."
@HaHaHaHolowence,"Nintendo is so worthless, siphoning money from their cult following just to try to punish Palworld for exposing they could actually do some good concepts with their games being one of the most profitable franchises in the world."
@WayneHoxit-k6m,Hopefully soon they will get more switch 2 consoles sometime soon ❤
@Curtis-Randall,How did you idiots manage to mess up preorders so bad?? wtf
@Stock_cork69,"Nintendo: we are not greedy
also Nintendo: we have a tech demo game that will cost you money, its not free. we like money."
@triplezee374,"I just visited here to dislike your channel  ""you invented  gliding"" hahaha and fak pokemon to bye"
@coltonbarnes7861,"remember you don't own it, you own a license to play it, which can be revoked by the company at any time"
@RYKAZARD,0:10 for 500 you will not own the Nintendo switch you will get a license that can be revoked additionally you will not only not own the console you will not own the games all games will be digital even physical will just be a key to download meaning this console has no future proofing
@RYKAZARD,Let us own things and let us have physical games
@shelestki_Meowzers,"2:36 so this is just a wii and a nintendo switch combined, wonderful..."
@TouPaolucci,
@Firestar-o4l,"My brother gave me a mouse pad from game pad for christmas, now I'll finally have a use for it. Nintendo, thank you for adding the mouse function"
@نوافالعريفي-ز4ظ,😎 💚 ™️ ™️ ™️ ™️ ™️ ™️ ™️ ™️ ™️ ™️ ❤😂🎉😢😢😢😮😅
@DavidP089,I will be Pirating all Nintendo games from now on and I will teach others how to pirate your games too.
